Order Date,Segment,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Sales_Normalized,Profit_Normalized,Year,Month,Month_Name,Profit_Margin
2016-11-08,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,0.011552062201862386,0.44279413123533573,2016,11,November,0.16000000000000003
2016-11-08,Consumer,Henderson,Kentucky,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,0.03231269709086071,0.45463872755876444,2016,11,November,0.3
2016-06-12,Corporate,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,0.0006262027324278484,0.440457977404464,2016,6,June,0.47000000000000003
2015-10-11,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,0.04227988240676001,0.41446440435750664,2015,10,October,-0.4
2015-10-11,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,0.0009684585712294122,0.4401676431807724,2015,10,October,0.1125
2014-06-09,Consumer,Los Angeles,California,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,0.002138701431519943,0.44094451222983744,2014,6,June,0.29
2014-06-09,Consumer,Los Angeles,California,West,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,0.0003019696584986436,0.44013092306816404,2014,6,June,0.27
2014-06-09,Consumer,Los Angeles,California,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,0.040052414440899374,0.4460475812125823,2014,6,June,0.09999999999999999
2014-06-09,Consumer,Los Angeles,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,0.0007977723862617764,0.44038538384851045,2014,6,June,0.31249999999999994
2014-06-09,Consumer,Los Angeles,California,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,0.005055915628016494,0.4422978897135284,2014,6,June,0.3
2014-06-09,Consumer,Los Angeles,California,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,0.07534840919945528,0.4456871801073523,2014,6,June,0.05
2014-06-09,Consumer,Los Angeles,California,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,0.04024112339073937,0.44455701664151764,2014,6,June,0.07500000000000001
2017-04-15,Consumer,Concord,North Carolina,South,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,0.0006673723815970608,0.4403627637791422,2017,4,April,0.35000000000000003
2016-12-05,Consumer,Seattle,Washington,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,0.01800209170088783,0.44883938977412857,2016,12,December,0.32499999999999996
2015-11-22,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,0.0030199616256463236,0.43174265734414913,2015,11,November,-1.8
